Timestamp,Analog1_chA,Analog1_chB,other
4,1805.000,1267.000,
8,1795.000,1263.000,
12,1789.000,1262.000,
16,1790.000,1266.000,
20,1794.000,1278.000,
24,1790.000,1266.000,
28,1790.000,1254.000,
32,1793.000,1261.000,
36,1797.000,1267.000,
40,1797.000,1264.000,
44,1797.000,1258.000,
48,1797.000,1260.000,
52,1799.000,1269.000,
56,1801.000,1266.000,
60,1799.000,1258.000,
64,1800.000,1260.000,
68,1810.000,1273.000,
72,1806.000,1280.000,
76,1810.000,1266.000,
80,1804.000,1261.000,
84,1818.000,1278.000,
88,1817.000,1276.000,
92,1803.000,1264.000,
96,1809.000,1264.000,
100,1815.000,1279.000,
104,1820.000,1280.000,
108,1816.000,1267.000,
112,1811.000,1269.000,
116,1819.000,1274.000,
120,1822.000,1278.000,
124,1817.000,1276.000,
128,1815.000,1272.000,
132,1819.000,1278.000,
136,1832.000,1293.000,
140,1824.000,1282.000,
144,1819.000,1271.000,
148,1835.000,1283.000,
152,1844.000,1297.000,
156,1844.000,1289.000,
160,1845.000,1285.000,
164,1849.000,1287.000,
168,1851.000,1312.000,
172,1863.000,1299.000,
176,1857.000,1299.000,
180,1862.000,1303.000,
184,1878.000,1316.000,
188,1871.000,1316.000,
192,1889.000,1306.000,
196,1877.000,1307.000,
200,1883.000,1321.000,
204,1884.000,1314.000,
208,1883.000,1315.000,
212,1881.000,1313.000,
216,1887.000,1319.000,
220,1879.000,1321.000,
224,1878.000,1321.000,
228,1871.000,1309.000,
232,1881.000,1320.000,
236,1882.000,1325.000,
240,1872.000,1310.000,
244,1864.000,1306.000,
248,1872.000,1307.000,
252,1869.000,1321.000,
256,1858.000,1302.000,
260,1859.000,1296.000,
264,1862.000,1307.000,
268,1857.000,1312.000,
272,1860.000,1304.000,
276,1852.000,1287.000,
280,1852.000,1308.000,
284,1848.000,1305.000,
288,1839.000,1300.000,
292,1840.000,1279.000,
296,1844.000,1291.000,
300,1846.000,1302.000,
304,1837.000,1300.000,
308,1836.000,1290.000,
312,1831.000,1289.000,
316,1840.000,1294.000,
320,1831.000,1294.000,
324,1819.000,1274.000,
328,1816.000,1275.000,
332,1829.000,1296.000,
336,1826.000,1291.000,
340,1817.000,1276.000,
344,1807.000,1269.000,
348,1816.000,1281.000,
352,1808.000,1281.000,
356,1799.000,1270.000,
360,1797.000,1266.000,
364,1799.000,1276.000,
368,1801.000,1267.000,
372,1793.000,1261.000,
376,1770.000,1260.000,
380,1793.000,1266.000,
384,1788.000,1268.000,
388,1779.000,1251.000,
392,1775.000,1250.000,
396,1781.000,1254.000,
400,1780.000,1258.000,
404,1690.000,1206.000,
408,1681.000,1188.000,
412,1682.000,1186.000,
416,1675.000,1193.000,
420,1673.000,1189.000,
424,1669.000,1188.000,
428,1674.000,1177.000,
432,1681.000,1183.000,
436,1687.000,1191.000,
440,1679.000,1192.000,
444,1677.000,1177.000,
448,1691.000,1190.000,
452,1694.000,1192.000,
456,1683.000,1193.000,
460,1678.000,1183.000,
464,1684.000,1192.000,
468,1693.000,1199.000,
472,1691.000,1196.000,
476,1682.000,1188.000,
480,1696.000,1194.000,
484,1699.000,1201.000,
488,1706.000,1203.000,
492,1694.000,1194.000,
496,1708.000,1195.000,
500,1725.000,1218.000,
504,1732.000,1221.000,
508,1738.000,1217.000,
512,1754.000,1217.000,
516,1778.000,1241.000,
520,1815.000,1255.000,
524,1831.000,1259.000,
528,1872.000,1275.000,
532,1915.000,1309.000,
536,1952.000,1336.000,
540,1991.000,1349.000,
544,2042.000,1376.000,
548,2091.000,1409.000,
552,2135.000,1440.000,
556,2174.000,1460.000,
560,2211.000,1476.000,
564,2241.000,1574.000,
568,2220.000,1574.000,
572,2197.000,1558.000,
576,2163.000,1536.000,
580,2141.000,1513.000,
584,2128.000,1509.000,
588,2105.000,1504.000,
592,2079.000,1484.000,
596,2049.000,1459.000,
600,2044.000,1457.000,
604,2025.000,1450.000,
608,1995.000,1422.000,
612,1977.000,1402.000,
616,1957.000,1405.000,
620,1947.000,1394.000,
624,1919.000,1372.000,
628,1907.000,1358.000,
632,1901.000,1348.000,
636,1895.000,1351.000,
640,1870.000,1329.000,
644,1890.000,1312.000,
648,1896.000,1311.000,
652,1907.000,1332.000,
656,1919.000,1344.000,
660,1924.000,1333.000,
664,1927.000,1327.000,
668,1935.000,1347.000,
672,1951.000,1364.000,
676,1953.000,1358.000,
680,1958.000,1362.000,
684,1969.000,1368.000,
688,1974.000,1377.000,
692,1975.000,1375.000,
696,1984.000,1367.000,
700,1975.000,1380.000,
704,2000.000,1392.000,
708,1982.000,1392.000,
712,2011.000,1384.000,
716,1981.000,1385.000,
720,1982.000,1392.000,
724,1980.000,1390.000,
728,1976.000,1377.000,
732,1970.000,1375.000,
736,1969.000,1383.000,
740,1968.000,1388.000,
744,1953.000,1372.000,
748,1943.000,1359.000,
752,1944.000,1373.000,
756,1936.000,1364.000,
760,1918.000,1351.000,
764,1912.000,1342.000,
768,1902.000,1349.000,
772,1900.000,1353.000,
776,1888.000,1336.000,
780,1869.000,1317.000,
784,1861.000,1320.000,
788,1858.000,1325.000,
792,1842.000,1303.000,
796,1821.000,1293.000,
800,1819.000,1294.000,
804,1820.000,1300.000,
808,1809.000,1286.000,
812,1798.000,1273.000,
816,1789.000,1272.000,
820,1792.000,1276.000,
824,1785.000,1272.000,
828,1767.000,1251.000,
832,1771.000,1246.000,
836,1772.000,1255.000,
840,1768.000,1258.000,
844,1761.000,1242.000,
848,1763.000,1244.000,
852,1773.000,1257.000,
856,1771.000,1253.000,
860,1768.000,1250.000,
864,1771.000,1242.000,
868,1787.000,1251.000,
872,1796.000,1267.000,
876,1791.000,1252.000,
880,1796.000,1246.000,
884,1855.000,1293.000,
888,1857.000,1311.000,
892,1866.000,1316.000,
896,1862.000,1295.000,
900,1859.000,1296.000,
904,1872.000,1311.000,
908,1868.000,1321.000,
912,1859.000,1303.000,
916,1864.000,1303.000,
920,1875.000,1315.000,
924,1880.000,1317.000,
928,1870.000,1313.000,
932,1869.000,1303.000,
936,1871.000,1312.000,
940,1880.000,1321.000,
944,1865.000,1305.000,
948,1853.000,1312.000,
952,1851.000,1299.000,
956,1855.000,1316.000,
960,1844.000,1301.000,
964,1837.000,1293.000,
968,1840.000,1297.000,
972,1834.000,1302.000,
976,1823.000,1289.000,
980,1815.000,1271.000,
984,1819.000,1282.000,
988,1818.000,1287.000,
992,1810.000,1288.000,
996,1766.000,1266.000,
1000,1789.000,1264.000,
1004,1794.000,1273.000,
1008,1786.000,1263.000,
1012,1780.000,1256.000,
1016,1771.000,1253.000,
1020,1783.000,1259.000,
1024,1771.000,1264.000,
1028,1776.000,1246.000,
1032,1772.000,1248.000,
1036,1771.000,1258.000,
