Timestamp,Analog1_chA,Analog1_chB
4,3136.000,2143.000,
8,3135.000,2124.000,
12,3135.000,2123.000,
16,3127.000,2136.000,
20,3130.000,2139.000,
24,3145.000,2122.000,
28,3131.000,2117.000,
32,3136.000,2135.000,
36,3150.000,2131.000,
40,3152.000,2123.000,
44,3157.000,2125.000,
48,3165.000,2135.000,
52,3167.000,2142.000,
56,3174.000,2136.000,
60,3183.000,2133.000,
64,3188.000,2150.000,
68,3198.000,2163.000,
72,3210.000,2152.000,
76,3206.000,2143.000,
80,3218.000,2166.000,
84,3216.000,2185.000,
88,3239.000,2172.000,
92,3235.000,2167.000,
96,3255.000,2174.000,
100,3251.000,2196.000,
104,3256.000,2186.000,
108,3263.000,2175.000,
112,3278.000,2187.000,
116,3285.000,2206.000,
120,3284.000,2209.000,
124,3300.000,2190.000,
128,3292.000,2199.000,
132,3298.000,2219.000,
136,3304.000,2222.000,
140,3311.000,2204.000,
144,3315.000,2211.000,
148,3315.000,2221.000,
152,3320.000,2227.000,
156,3321.000,2215.000,
160,3324.000,2213.000,
164,3319.000,2240.000,
168,3317.000,2236.000,
172,3326.000,2214.000,
176,3324.000,2219.000,
180,3320.000,2230.000,
184,3308.000,2236.000,
188,3317.000,2227.000,
192,3308.000,2211.000,
196,3310.000,2220.000,
200,3304.000,2230.000,
204,3297.000,2217.000,
208,3289.000,2203.000,
212,3292.000,2215.000,
216,3290.000,2217.000,
220,3283.000,2210.000,
224,3281.000,2185.000,
228,3277.000,2199.000,
232,3266.000,2213.000,
236,3263.000,2204.000,
240,3256.000,2175.000,
244,3253.000,2190.000,
248,3248.000,2197.000,
252,3250.000,2189.000,
256,3250.000,2172.000,
260,3248.000,2173.000,
264,3236.000,2187.000,
268,3233.000,2188.000,
272,3240.000,2176.000,
276,3228.000,2167.000,
280,3236.000,2185.000,
284,3225.000,2185.000,
288,3227.000,2167.000,
292,3223.000,2164.000,
296,3228.000,2184.000,
300,3231.000,2183.000,
304,3236.000,2168.000,
308,3226.000,2160.000,
312,3233.000,2181.000,
316,3240.000,2187.000,
320,3238.000,2184.000,
324,3245.000,2184.000,
328,3243.000,2175.000,
332,3250.000,2196.000,
336,3244.000,2182.000,
340,3247.000,2174.000,
344,3246.000,2188.000,
348,3250.000,2198.000,
352,3254.000,2187.000,
356,3255.000,2180.000,
360,3259.000,2192.000,
364,3255.000,2197.000,
368,3257.000,2191.000,
372,3250.000,2178.000,
376,3263.000,2192.000,
380,3270.000,2201.000,
384,3264.000,2195.000,
388,3268.000,2183.000,
392,3271.000,2192.000,
396,3268.000,2201.000,
400,3260.000,2209.000,
404,3272.000,2191.000,
408,3269.000,2182.000,
412,3265.000,2190.000,
416,3260.000,2205.000,
420,3263.000,2199.000,
424,3264.000,2183.000,
428,3266.000,2187.000,
432,3256.000,2208.000,
436,3254.000,2201.000,
440,3272.000,2184.000,
444,3264.000,2181.000,
448,3251.000,2202.000,
452,3265.000,2205.000,
456,3258.000,2185.000,
460,3272.000,2184.000,
464,3259.000,2203.000,
468,3259.000,2212.000,
472,3269.000,2187.000,
476,3268.000,2183.000,
480,3272.000,2200.000,
484,3263.000,2216.000,
488,3284.000,2213.000,
492,3290.000,2196.000,
496,3290.000,2199.000,
500,3290.000,2219.000,
504,3296.000,2219.000,
508,3306.000,2209.000,
512,3325.000,2213.000,
516,3336.000,2237.000,
520,3360.000,2250.000,
524,3381.000,2247.000,
528,3394.000,2243.000,
532,3426.000,2263.000,
536,3440.000,2285.000,
540,3466.000,2281.000,
544,3476.000,2287.000,
548,3491.000,2305.000,
552,3501.000,2322.000,
556,3512.000,2318.000,
560,3506.000,2319.000,
564,3503.000,2323.000,
568,3509.000,2343.000,
572,3505.000,2336.000,
576,3504.000,2320.000,
580,3502.000,2325.000,
584,3507.000,2346.000,
588,3502.000,2333.000,
592,3508.000,2318.000,
596,3500.000,2322.000,
600,3478.000,2336.000,
604,3455.000,2324.000,
608,3446.000,2306.000,
612,3423.000,2292.000,
616,3402.000,2298.000,
620,3376.000,2286.000,
624,3366.000,2263.000,
628,3338.000,2246.000,
632,3287.000,2247.000,
636,3272.000,2239.000,
640,3251.000,2206.000,
644,3215.000,2135.000,
648,3224.000,2150.000,
652,3211.000,2176.000,
656,3236.000,2174.000,
660,3244.000,2176.000,
664,3249.000,2172.000,
668,3270.000,2192.000,
672,3271.000,2205.000,
676,3281.000,2185.000,
680,3287.000,2191.000,
684,3288.000,2210.000,
688,3304.000,2218.000,
692,3308.000,2207.000,
696,3311.000,2203.000,
700,3304.000,2214.000,
704,3318.000,2229.000,
708,3314.000,2216.000,
712,3323.000,2207.000,
716,3319.000,2217.000,
720,3316.000,2234.000,
724,3313.000,2225.000,
728,3314.000,2210.000,
732,3319.000,2225.000,
736,3313.000,2238.000,
740,3325.000,2227.000,
744,3328.000,2219.000,
748,3327.000,2220.000,
752,3331.000,2237.000,
756,3330.000,2238.000,
760,3342.000,2224.000,
764,3336.000,2228.000,
768,3321.000,2240.000,
772,3329.000,2230.000,
776,3333.000,2217.000,
780,3326.000,2224.000,
784,3321.000,2237.000,
788,3315.000,2231.000,
792,3313.000,2217.000,
796,3320.000,2215.000,
800,3313.000,2229.000,
804,3266.000,2214.000,
808,3268.000,2197.000,
812,3263.000,2190.000,
816,3269.000,2192.000,
820,3272.000,2209.000,
824,3284.000,2204.000,
828,3273.000,2191.000,
832,3280.000,2194.000,
836,3274.000,2208.000,
840,3281.000,2209.000,
844,3273.000,2191.000,
848,3282.000,2196.000,
852,3273.000,2204.000,
856,3283.000,2207.000,
860,3283.000,2204.000,
864,3278.000,2191.000,
868,3279.000,2201.000,
872,3279.000,2217.000,
876,3282.000,2205.000,
880,3281.000,2186.000,
884,3275.000,2199.000,
888,3273.000,2216.000,
892,3271.000,2203.000,
896,3284.000,2188.000,
900,3289.000,2194.000,
904,3278.000,2215.000,
908,3290.000,2206.000,
912,3284.000,2194.000,
916,3283.000,2201.000,
920,3283.000,2214.000,
924,3293.000,2208.000,
928,3302.000,2197.000,
932,3301.000,2199.000,
936,3295.000,2220.000,
940,3300.000,2213.000,
944,3300.000,2210.000,
948,3305.000,2202.000,
952,3303.000,2224.000,
956,3298.000,2226.000,
960,3311.000,2210.000,
964,3311.000,2206.000,
968,3316.000,2220.000,
972,3307.000,2223.000,
976,3311.000,2226.000,
980,3319.000,2207.000,
984,3315.000,2209.000,
988,3308.000,2231.000,
992,3308.000,2225.000,
996,3311.000,2211.000,
1000,3320.000,2212.000,
1004,3312.000,2234.000,
1008,3308.000,2233.000,
1012,3302.000,2209.000,
1016,3311.000,2214.000,
1020,3301.000,2223.000,
1024,3307.000,2224.000,
1028,3330.000,2218.000,
1032,3304.000,2207.000,
1036,3310.000,2211.000,
1040,3305.000,2234.000,
1044,3305.000,2215.000,
1048,3300.000,2209.000,
1052,3302.000,2215.000,
1056,3306.000,2215.000,
1060,3300.000,2219.000,
1064,3302.000,2204.000,
1068,3312.000,2207.000,
1072,3294.000,2228.000,
1076,3301.000,2215.000,
1080,3294.000,2208.000,
1084,3298.000,2216.000,
1088,3296.000,2219.000,
1092,3300.000,2219.000,
1096,3303.000,2209.000,
1100,3299.000,2207.000,
1104,3295.000,2224.000,
1108,3305.000,2224.000,
1112,3313.000,2209.000,
1116,3309.000,2207.000,
1120,3319.000,2239.000,
1124,3508.000,2350.000,
1128,3510.000,2337.000,
1132,3496.000,2326.000,
1136,3485.000,2336.000,
1140,3466.000,2336.000,
1144,3443.000,2315.000,
1148,3428.000,2296.000,
1152,3416.000,2285.000,
1156,3380.000,2287.000,
1160,3351.000,2279.000,
1164,3335.000,2250.000,
1168,3302.000,2232.000,
1172,3275.000,2237.000,
1176,3260.000,2224.000,
1180,3237.000,2195.000,
1184,3203.000,2177.000,
1188,3197.000,2192.000,
1192,3179.000,2180.000,
1196,3180.000,2160.000,
1200,3167.000,2142.000,
